id,type,wikidata_name_first,wikidata_name,mainsnak.property_text,wikidata_description_first,wikidata_description,wikidata_name2_first,wikidata_name2,mainsnak.datavalue.value.latitude,mainsnak.datavalue.value.longitude
Q5527544$85947940-F9AB-4897-9F54-DC91F7339C78,statement,en_Gatundori,en_Gatundori;nl_Gatundori,coordinate location,,,,,-0.48,37.48
Q5527545$E8F2E179-439D-4B2D-9011-E242E5A038B9,statement,en_Gatunga,en_Gatunga;nl_Gatunga,coordinate location,,,,,-0.1,38.02
Q5527546$F725A0E8-A811-4485-8C2E-0E3FF84A3D94,statement,en_Gatunganga,en_Gatunganga;nl_Gatunganga,coordinate location,,,,,-0.42,37.05
Q5527548$B94413C4-20CC-4A40-9878-8AB088444833,statement,en_Gatunguru,en_Gatunguru;nl_Gatunguru,coordinate location,,,,,-0.9,36.83
Q5527550$10D59FD0-8E56-4707-858D-EC8D20410585,statement,en_Gatura,en_Gatura;nl_Gatura,coordinate location,,,,,-0.53,37.03
Q5527561$B00F66F1-AE1F-4620-B95A-B8974FE69A49,statement,en_Gatwe,en_Gatwe;nl_Gatwe;sq_Gatwe,coordinate location,,,,,-0.43,37.23
Q5527564$78AD75C3-369D-4F0D-BF1D-2D22FC153210,statement,de_Gatuyaini,de_Gatuyaini;en_Gatuyaini;sw_Gatuyaini;sv_Gatuyaini;pl_Gatuyaini;nl_Gatuyaini;el_Γκατουγάινι,coordinate location,nl_nederzetting in Kenia,nl_nederzetting in Kenia,"sw_Gatuyaini, Kenya","sw_Gatuyaini, Kenya;pl_Gatuyaini Village",-0.55,36.93333333
Q5530291$C2EAFD93-54C8-4AF9-A798-459CB8E796EA,statement,en_Gekandu,en_Gekandu;nl_Gekandu,coordinate location,,,,,-0.72,37.1
Q5530319$490B1CE0-B622-43D0-AB70-402579BEF82F,statement,en_Gekondi,en_Gekondi;nl_Gekondi,coordinate location,,,,,-0.57,37.03
Q5557963$85B126F8-C7D7-46EC-A8DA-3123A5740A3B,statement,en_Giagithu,en_Giagithu;nl_Giagithu,coordinate location,,,,,-1.1,36.85
Q5559473$015B3A96-6118-4056-A867-FF3C3458BE02,statement,en_Gichuru,en_Gichuru;nl_Gichuru,coordinate location,,,,,-1.17,36.67
Q5560425$B516E1BF-B749-4FD9-8027-5C4531A81691,statement,en_Gikaru,en_Gikaru;nl_Gikaru,coordinate location,,,,,-1.2,36.7
Q5560432$DDDE07FD-060B-4374-815F-7C5C27BE7803,statement,en_Gikomora,en_Gikomora;nl_Gikomora,coordinate location,,,,,-0.82,37.03
Q5565097$57E96C7B-F4E6-404E-84E8-3B037C4AD5EC,statement,en_Githiga,en_Githiga;nl_Githiga,coordinate location,,,,,-1.08,36.73
Q5565106$32979C5B-A72E-4F13-AE16-944073B2347F,statement,en_Githumu,en_Githumu;nl_Githumu,coordinate location,,,,,-0.82,36.9
Q5565114$5E6BC840-C3C6-4AB2-A3D5-0E8487C874BA,statement,en_Githuya,en_Githuya;nl_Githuya,coordinate location,,,,,-0.87,36.97
Q5565171$C6D0A4F7-44A0-4054-A7EB-BC5A428B1A95,statement,en_Gitura,en_Gitura;nl_Gitura,coordinate location,,,,,-0.92,37.12
Q5565178$FF0C7886-CADB-405D-AE06-45EB001D32CF,statement,en_Gitweku,en_Gitweku;nl_Gitweku,coordinate location,,,,,-0.7,36.97
Q5703464$5C65A9FB-029E-4BF4-AEBA-19F184039861,statement,fa_آیام,fa_آیام,coordinate location,nl_nederzetting in Kenia,nl_nederzetting in Kenia,,,0.37,36.55
Q5871938$F243A3E4-7DF6-4B7E-87DB-B6E87CFEB6AD,statement,en_Hithe,en_Hithe;nl_Hithe,coordinate location,,,,,-0.48,36.87
